Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
220,,29.3 °C,18.6 °C,13.5 °C,38.1 %,1 ppm,536 ppm,,,,11/02/2025 01:24:05 p. m.
221,,29.3 °C,18.5 °C,13.5 °C,38.1 %,1 ppm,534 ppm,,,,11/02/2025 01:25:05 p. m.
222,,29.3 °C,18.5 °C,13.5 °C,38.2 %,1 ppm,530 ppm,,,,11/02/2025 01:26:05 p. m.
223,,29.3 °C,18.5 °C,13.5 °C,38.1 %,0 ppm,540 ppm,,,,11/02/2025 01:27:05 p. m.
224,,29.2 °C,18.5 °C,13.4 °C,38.1 %,0 ppm,536 ppm,,,,11/02/2025 01:28:05 p. m.
225,,29.3 °C,18.5 °C,13.4 °C,38.0 %,1 ppm,526 ppm,,,,11/02/2025 01:29:05 p. m.
226,,29.2 °C,18.5 °C,13.5 °C,38.2 %,1 ppm,532 ppm,,,,11/02/2025 01:30:05 p. m.
227,,29.3 °C,18.6 °C,13.6 °C,38.2 %,0 ppm,521 ppm,,,,11/02/2025 01:31:05 p. m.
228,,29.3 °C,18.6 °C,13.6 °C,38.2 %,1 ppm,527 ppm,,,,11/02/2025 01:32:05 p. m.
229,,29.3 °C,18.6 °C,13.6 °C,38.4 %,1 ppm,533 ppm,,,,11/02/2025 01:33:05 p. m.
230,,29.3 °C,18.6 °C,13.5 °C,38.2 %,0 ppm,526 ppm,,,,11/02/2025 01:34:05 p. m.
231,,29.3 °C,18.5 °C,13.5 °C,38.2 %,0 ppm,531 ppm,,,,11/02/2025 01:35:05 p. m.
232,,29.4 °C,18.6 °C,13.5 °C,38.0 %,0 ppm,527 ppm,,,,11/02/2025 01:36:05 p. m.
233,,29.4 °C,18.6 °C,13.5 °C,37.8 %,1 ppm,521 ppm,,,,11/02/2025 01:37:05 p. m.
234,,29.5 °C,18.6 °C,13.5 °C,37.6 %,1 ppm,525 ppm,,,,11/02/2025 01:38:05 p. m.
235,,29.5 °C,18.6 °C,13.4 °C,37.5 %,1 ppm,529 ppm,,,,11/02/2025 01:39:05 p. m.
236,,29.4 °C,18.5 °C,13.4 °C,37.6 %,0 ppm,511 ppm,,,,11/02/2025 01:40:05 p. m.
237,,29.4 °C,18.5 °C,13.4 °C,37.6 %,1 ppm,507 ppm,,,,11/02/2025 01:41:05 p. m.
238,,29.4 °C,18.5 °C,13.4 °C,37.6 %,0 ppm,513 ppm,,,,11/02/2025 01:42:05 p. m.
239,,29.5 °C,18.5 °C,13.3 °C,37.3 %,1 ppm,519 ppm,,,,11/02/2025 01:43:05 p. m.
240,,29.5 °C,18.6 °C,13.5 °C,37.7 %,0 ppm,517 ppm,,,,11/02/2025 01:44:05 p. m.
241,,29.5 °C,18.6 °C,13.5 °C,37.7 %,0 ppm,495 ppm,,,,11/02/2025 01:45:05 p. m.
242,,29.5 °C,18.7 °C,13.6 °C,38.0 %,1 ppm,523 ppm,,,,11/02/2025 01:46:05 p. m.
243,,29.5 °C,18.6 °C,13.5 °C,37.6 %,0 ppm,525 ppm,,,,11/02/2025 01:47:05 p. m.
244,,29.5 °C,18.6 °C,13.5 °C,37.7 %,1 ppm,512 ppm,,,,11/02/2025 01:48:05 p. m.
245,,29.5 °C,18.6 °C,13.5 °C,37.8 %,0 ppm,516 ppm,,,,11/02/2025 01:49:05 p. m.
246,,29.5 °C,18.6 °C,13.5 °C,37.7 %,1 ppm,509 ppm,,,,11/02/2025 01:50:05 p. m.
247,,29.5 °C,18.6 °C,13.4 °C,37.4 %,1 ppm,520 ppm,,,,11/02/2025 01:51:05 p. m.
248,,29.5 °C,18.6 °C,13.4 °C,37.5 %,1 ppm,511 ppm,,,,11/02/2025 01:52:05 p. m.
249,,29.5 °C,18.6 °C,13.5 °C,37.6 %,0 ppm,511 ppm,,,,11/02/2025 01:53:05 p. m.
250,,29.5 °C,18.6 °C,13.5 °C,37.8 %,1 ppm,525 ppm,,,,11/02/2025 01:54:05 p. m.
251,,29.5 °C,18.7 °C,13.6 °C,37.9 %,1 ppm,512 ppm,,,,11/02/2025 01:55:05 p. m.
252,,29.5 °C,18.7 °C,13.6 °C,37.8 %,1 ppm,523 ppm,,,,11/02/2025 01:56:05 p. m.
253,,29.6 °C,18.7 °C,13.6 °C,37.6 %,0 ppm,527 ppm,,,,11/02/2025 01:57:05 p. m.
254,,29.6 °C,18.6 °C,13.5 °C,37.5 %,1 ppm,526 ppm,,,,11/02/2025 01:58:05 p. m.
255,,29.5 °C,18.6 °C,13.5 °C,37.8 %,0 ppm,506 ppm,,,,11/02/2025 01:59:05 p. m.
256,,29.6 °C,18.7 °C,13.6 °C,37.6 %,1 ppm,514 ppm,,,,11/02/2025 02:00:05 p. m.
257,,29.6 °C,18.7 °C,13.6 °C,37.6 %,0 ppm,504 ppm,,,,11/02/2025 02:01:05 p. m.
258,,29.5 °C,18.6 °C,13.5 °C,37.5 %,1 ppm,516 ppm,,,,11/02/2025 02:02:05 p. m.
259,,29.6 °C,18.7 °C,13.6 °C,37.6 %,0 ppm,508 ppm,,,,11/02/2025 02:03:05 p. m.
260,,29.6 °C,18.6 °C,13.5 °C,37.4 %,1 ppm,519 ppm,,,,11/02/2025 02:04:05 p. m.
261,,29.5 °C,18.6 °C,13.4 °C,37.5 %,1 ppm,511 ppm,,,,11/02/2025 02:05:05 p. m.
262,,29.6 °C,18.6 °C,13.5 °C,37.5 %,1 ppm,495 ppm,,,,11/02/2025 02:06:05 p. m.
263,,29.6 °C,18.6 °C,13.5 °C,37.5 %,1 ppm,509 ppm,,,,11/02/2025 02:07:05 p. m.
264,,29.6 °C,18.7 °C,13.6 °C,37.6 %,1 ppm,513 ppm,,,,11/02/2025 02:08:05 p. m.
265,,29.6 °C,18.6 °C,13.5 °C,37.5 %,1 ppm,521 ppm,,,,11/02/2025 02:09:05 p. m.
266,,29.6 °C,18.6 °C,13.5 °C,37.5 %,1 ppm,510 ppm,,,,11/02/2025 02:10:05 p. m.
267,,29.6 °C,18.6 °C,13.5 °C,37.4 %,1 ppm,505 ppm,,,,11/02/2025 02:11:05 p. m.
268,,29.7 °C,18.8 °C,13.8 °C,37.8 %,1 ppm,528 ppm,,,,11/02/2025 02:12:05 p. m.
269,,29.7 °C,18.8 °C,13.7 °C,37.7 %,1 ppm,519 ppm,,,,11/02/2025 02:13:05 p. m.
270,,29.7 °C,18.7 °C,13.6 °C,37.5 %,1 ppm,527 ppm,,,,11/02/2025 02:14:05 p. m.
271,,29.7 °C,18.8 °C,13.7 °C,37.6 %,1 ppm,506 ppm,,,,11/02/2025 02:15:05 p. m.
272,,29.7 °C,18.8 °C,13.7 °C,37.6 %,0 ppm,512 ppm,,,,11/02/2025 02:16:05 p. m.
273,,29.7 °C,18.8 °C,13.7 °C,37.6 %,1 ppm,521 ppm,,,,11/02/2025 02:17:05 p. m.
274,,29.7 °C,18.7 °C,13.6 °C,37.4 %,0 ppm,511 ppm,,,,11/02/2025 02:18:05 p. m.
275,,29.6 °C,18.6 °C,13.5 °C,37.5 %,1 ppm,515 ppm,,,,11/02/2025 02:19:05 p. m.
276,,29.7 °C,18.7 °C,13.6 °C,37.4 %,1 ppm,505 ppm,,,,11/02/2025 02:20:05 p. m.
277,,29.7 °C,18.7 °C,13.6 °C,37.5 %,1 ppm,500 ppm,,,,11/02/2025 02:21:05 p. m.
278,,29.7 °C,18.8 °C,13.7 °C,37.5 %,1 ppm,507 ppm,,,,11/02/2025 02:22:05 p. m.
279,,29.7 °C,18.7 °C,13.5 °C,37.3 %,1 ppm,508 ppm,,,,11/02/2025 02:23:05 p. m.
280,,29.8 °C,18.7 °C,13.6 °C,37.3 %,0 ppm,508 ppm,,,,11/02/2025 02:24:05 p. m.
281,,29.8 °C,18.8 °C,13.6 °C,37.2 %,0 ppm,503 ppm,,,,11/02/2025 02:25:05 p. m.
282,,29.8 °C,18.7 °C,13.6 °C,37.3 %,0 ppm,509 ppm,,,,11/02/2025 02:26:05 p. m.
283,,29.8 °C,18.7 °C,13.5 °C,37.1 %,0 ppm,501 ppm,,,,11/02/2025 02:27:05 p. m.
284,,29.8 °C,18.7 °C,13.6 °C,37.3 %,1 ppm,494 ppm,,,,11/02/2025 02:28:05 p. m.
285,,29.8 °C,18.7 °C,13.6 °C,37.2 %,0 ppm,489 ppm,,,,11/02/2025 02:29:05 p. m.
286,,29.8 °C,18.7 °C,13.6 °C,37.2 %,1 ppm,476 ppm,,,,11/02/2025 02:30:05 p. m.
287,,29.8 °C,18.7 °C,13.6 °C,37.3 %,1 ppm,489 ppm,,,,11/02/2025 02:31:05 p. m.
288,,29.9 °C,18.8 °C,13.6 °C,37.2 %,0 ppm,495 ppm,,,,11/02/2025 02:32:05 p. m.
289,,29.9 °C,18.8 °C,13.6 °C,37.1 %,0 ppm,490 ppm,,,,11/02/2025 02:33:05 p. m.
290,,29.8 °C,18.7 °C,13.6 °C,37.2 %,1 ppm,480 ppm,,,,11/02/2025 02:34:05 p. m.
291,,29.8 °C,18.8 °C,13.7 °C,37.5 %,0 ppm,458 ppm,,,,11/02/2025 02:35:05 p. m.
292,,29.9 °C,18.8 °C,13.7 °C,37.2 %,1 ppm,478 ppm,,,,11/02/2025 02:36:05 p. m.
293,,29.9 °C,18.8 °C,13.7 °C,37.3 %,0 ppm,475 ppm,,,,11/02/2025 02:37:05 p. m.
294,,29.8 °C,18.8 °C,13.7 °C,37.4 %,0 ppm,468 ppm,,,,11/02/2025 02:38:05 p. m.
295,,29.8 °C,18.7 °C,13.5 °C,37.1 %,0 ppm,463 ppm,,,,11/02/2025 02:39:05 p. m.
296,,29.8 °C,18.7 °C,13.6 °C,37.3 %,0 ppm,467 ppm,,,,11/02/2025 02:40:05 p. m.
297,,29.8 °C,18.8 °C,13.7 °C,37.5 %,1 ppm,471 ppm,,,,11/02/2025 02:41:05 p. m.
298,,29.8 °C,18.7 °C,13.6 °C,37.4 %,0 ppm,465 ppm,,,,11/02/2025 02:42:05 p. m.
299,,29.9 °C,18.8 °C,13.7 °C,37.3 %,0 ppm,464 ppm,,,,11/02/2025 02:43:05 p. m.
300,,29.9 °C,18.9 °C,13.8 °C,37.5 %,0 ppm,458 ppm,,,,11/02/2025 02:44:05 p. m.
301,,29.9 °C,18.9 °C,13.8 °C,37.5 %,1 ppm,465 ppm,,,,11/02/2025 02:45:05 p. m.
302,,29.9 °C,18.9 °C,13.8 °C,37.5 %,1 ppm,465 ppm,,,,11/02/2025 02:46:05 p. m.
303,,29.9 °C,18.9 °C,13.8 °C,37.5 %,0 ppm,454 ppm,,,,11/02/2025 02:47:05 p. m.
304,,29.9 °C,18.9 °C,13.8 °C,37.5 %,1 ppm,452 ppm,,,,11/02/2025 02:48:05 p. m.
305,,29.9 °C,18.8 °C,13.7 °C,37.4 %,1 ppm,454 ppm,,,,11/02/2025 02:49:05 p. m.
306,,29.9 °C,18.9 °C,13.8 °C,37.4 %,1 ppm,449 ppm,,,,11/02/2025 02:50:05 p. m.
307,,29.9 °C,18.9 °C,13.8 °C,37.5 %,0 ppm,452 ppm,,,,11/02/2025 02:51:05 p. m.
308,,29.9 °C,18.9 °C,13.8 °C,37.6 %,1 ppm,465 ppm,,,,11/02/2025 02:52:05 p. m.
309,,29.9 °C,18.9 °C,13.8 °C,37.6 %,1 ppm,460 ppm,,,,11/02/2025 02:53:05 p. m.
310,,29.9 °C,18.9 °C,13.9 °C,37.7 %,1 ppm,462 ppm,,,,11/02/2025 02:54:05 p. m.
311,,29.8 °C,18.9 °C,13.8 °C,37.9 %,0 ppm,466 ppm,,,,11/02/2025 02:55:05 p. m.
312,,29.8 °C,18.9 °C,13.9 °C,38.0 %,1 ppm,464 ppm,,,,11/02/2025 02:56:05 p. m.
313,,29.9 °C,18.9 °C,13.9 °C,37.8 %,1 ppm,474 ppm,,,,11/02/2025 02:57:05 p. m.
314,,29.9 °C,18.9 °C,13.9 °C,37.9 %,1 ppm,473 ppm,,,,11/02/2025 02:58:05 p. m.
315,,29.9 °C,18.9 °C,13.9 °C,37.8 %,0 ppm,484 ppm,,,,11/02/2025 02:59:05 p. m.
316,,30.0 °C,19.0 °C,14.0 °C,37.9 %,1 ppm,472 ppm,,,,11/02/2025 03:00:05 p. m.
317,,30.0 °C,19.1 °C,14.2 °C,38.2 %,1 ppm,477 ppm,,,,11/02/2025 03:01:05 p. m.
318,,30.0 °C,19.1 °C,14.1 °C,38.0 %,1 ppm,475 ppm,,,,11/02/2025 03:02:05 p. m.
319,,29.9 °C,18.9 °C,13.9 °C,37.8 %,1 ppm,482 ppm,,,,11/02/2025 03:03:05 p. m.
320,,29.9 °C,18.9 °C,13.9 °C,37.8 %,1 ppm,479 ppm,,,,11/02/2025 03:04:05 p. m.
321,,30.0 °C,19.0 °C,14.0 °C,37.9 %,1 ppm,481 ppm,,,,11/02/2025 03:05:05 p. m.
322,,30.0 °C,19.0 °C,14.0 °C,37.9 %,0 ppm,471 ppm,,,,11/02/2025 03:06:05 p. m.
323,,30.0 °C,19.0 °C,14.0 °C,37.9 %,0 ppm,478 ppm,,,,11/02/2025 03:07:05 p. m.
324,,30.0 °C,19.0 °C,14.0 °C,37.9 %,0 ppm,484 ppm,,,,11/02/2025 03:08:05 p. m.
325,,30.0 °C,19.0 °C,14.0 °C,37.9 %,1 ppm,474 ppm,,,,11/02/2025 03:09:05 p. m.
326,,30.0 °C,19.1 °C,14.2 °C,38.2 %,1 ppm,483 ppm,,,,11/02/2025 03:10:05 p. m.
327,,29.9 °C,19.0 °C,14.0 °C,38.1 %,1 ppm,478 ppm,,,,11/02/2025 03:11:05 p. m.
328,,29.9 °C,19.0 °C,14.1 °C,38.2 %,1 ppm,491 ppm,,,,11/02/2025 03:12:05 p. m.
329,,30.0 °C,19.1 °C,14.1 °C,38.0 %,1 ppm,488 ppm,,,,11/02/2025 03:13:05 p. m.
330,,30.0 °C,19.0 °C,14.0 °C,37.9 %,0 ppm,491 ppm,,,,11/02/2025 03:14:05 p. m.
331,,30.0 °C,19.0 °C,14.0 °C,37.9 %,1 ppm,496 ppm,,,,11/02/2025 03:15:05 p. m.
332,,30.0 °C,19.0 °C,14.0 °C,37.9 %,0 ppm,490 ppm,,,,11/02/2025 03:16:05 p. m.
333,,30.0 °C,19.1 °C,14.1 °C,38.0 %,1 ppm,493 ppm,,,,11/02/2025 03:17:05 p. m.
334,,30.1 °C,19.1 °C,14.1 °C,37.9 %,1 ppm,476 ppm,,,,11/02/2025 03:18:05 p. m.
335,,30.1 °C,19.1 °C,14.1 °C,38.0 %,1 ppm,498 ppm,,,,11/02/2025 03:19:05 p. m.
336,,30.1 °C,19.1 °C,14.2 °C,38.0 %,1 ppm,494 ppm,,,,11/02/2025 03:20:05 p. m.
337,,30.1 °C,19.1 °C,14.2 °C,38.1 %,1 ppm,498 ppm,,,,11/02/2025 03:21:05 p. m.
338,,30.1 °C,19.1 °C,14.2 °C,38.2 %,1 ppm,502 ppm,,,,11/02/2025 03:22:05 p. m.
339,,30.1 °C,19.1 °C,14.2 °C,38.1 %,0 ppm,508 ppm,,,,11/02/2025 03:23:05 p. m.
340,,30.1 °C,19.2 °C,14.2 °C,38.2 %,1 ppm,508 ppm,,,,11/02/2025 03:24:05 p. m.
341,,29.9 °C,19.1 °C,14.3 °C,38.7 %,1 ppm,506 ppm,,,,11/02/2025 03:25:05 p. m.
342,,30.1 °C,19.2 °C,14.3 °C,38.3 %,0 ppm,525 ppm,,,,11/02/2025 03:26:05 p. m.
343,,30.1 °C,19.1 °C,14.2 °C,38.0 %,1 ppm,512 ppm,,,,11/02/2025 03:27:05 p. m.
344,,30.1 °C,19.1 °C,14.2 °C,38.2 %,0 ppm,519 ppm,,,,11/02/2025 03:28:05 p. m.
345,,30.1 °C,19.2 °C,14.3 °C,38.3 %,1 ppm,519 ppm,,,,11/02/2025 03:29:05 p. m.
346,,30.1 °C,19.2 °C,14.3 °C,38.3 %,1 ppm,522 ppm,,,,11/02/2025 03:30:05 p. m.
347,,30.1 °C,19.2 °C,14.3 °C,38.3 %,1 ppm,515 ppm,,,,11/02/2025 03:31:05 p. m.
348,,30.2 °C,19.3 °C,14.4 °C,38.2 %,1 ppm,513 ppm,,,,11/02/2025 03:32:05 p. m.
349,,30.1 °C,19.1 °C,14.2 °C,38.2 %,1 ppm,524 ppm,,,,11/02/2025 03:33:05 p. m.
350,,30.1 °C,19.2 °C,14.3 °C,38.3 %,1 ppm,528 ppm,,,,11/02/2025 03:34:05 p. m.
351,,30.1 °C,19.2 °C,14.3 °C,38.3 %,0 ppm,528 ppm,,,,11/02/2025 03:35:05 p. m.
352,,30.1 °C,19.2 °C,14.3 °C,38.3 %,1 ppm,532 ppm,,,,11/02/2025 03:36:05 p. m.
353,,30.1 °C,19.2 °C,14.3 °C,38.3 %,1 ppm,534 ppm,,,,11/02/2025 03:37:05 p. m.
354,,30.1 °C,19.2 °C,14.3 °C,38.4 %,1 ppm,535 ppm,,,,11/02/2025 03:38:05 p. m.
355,,30.1 °C,19.2 °C,14.3 °C,38.3 %,1 ppm,531 ppm,,,,11/02/2025 03:39:05 p. m.
356,,30.1 °C,19.2 °C,14.3 °C,38.2 %,0 ppm,524 ppm,,,,11/02/2025 03:40:05 p. m.
357,,30.1 °C,19.2 °C,14.3 °C,38.2 %,1 ppm,531 ppm,,,,11/02/2025 03:41:05 p. m.
358,,30.1 °C,19.2 °C,14.3 °C,38.2 %,1 ppm,516 ppm,,,,11/02/2025 03:42:05 p. m.
359,,30.1 °C,19.2 °C,14.2 °C,38.2 %,0 ppm,525 ppm,,,,11/02/2025 03:43:05 p. m.
360,,30.1 °C,19.1 °C,14.2 °C,38.2 %,0 ppm,526 ppm,,,,11/02/2025 03:44:05 p. m.
361,,30.1 °C,19.2 °C,14.3 °C,38.2 %,1 ppm,512 ppm,,,,11/02/2025 03:45:05 p. m.
362,,30.1 °C,19.2 °C,14.3 °C,38.3 %,1 ppm,524 ppm,,,,11/02/2025 03:46:05 p. m.
363,,30.1 °C,19.2 °C,14.3 °C,38.3 %,1 ppm,523 ppm,,,,11/02/2025 03:47:05 p. m.
364,,30.1 °C,19.2 °C,14.3 °C,38.3 %,0 ppm,520 ppm,,,,11/02/2025 03:48:05 p. m.
365,,30.1 °C,19.2 °C,14.3 °C,38.3 %,0 ppm,514 ppm,,,,11/02/2025 03:49:05 p. m.
366,,30.1 °C,19.2 °C,14.3 °C,38.4 %,1 ppm,518 ppm,,,,11/02/2025 03:50:05 p. m.
367,,30.1 °C,19.2 °C,14.3 °C,38.3 %,1 ppm,527 ppm,,,,11/02/2025 03:51:05 p. m.
368,,30.1 °C,19.2 °C,14.3 °C,38.4 %,1 ppm,524 ppm,,,,11/02/2025 03:52:05 p. m.
369,,30.2 °C,19.3 °C,14.4 °C,38.3 %,0 ppm,520 ppm,,,,11/02/2025 03:53:05 p. m.
370,,30.1 °C,19.2 °C,14.3 °C,38.4 %,1 ppm,518 ppm,,,,11/02/2025 03:54:05 p. m.
371,,30.1 °C,19.2 °C,14.3 °C,38.4 %,1 ppm,515 ppm,,,,11/02/2025 03:55:05 p. m.
372,,30.1 °C,19.3 °C,14.4 °C,38.5 %,1 ppm,515 ppm,,,,11/02/2025 03:56:05 p. m.
373,,30.1 °C,19.3 °C,14.4 °C,38.5 %,1 ppm,519 ppm,,,,11/02/2025 03:57:05 p. m.
374,,30.1 °C,19.3 °C,14.4 °C,38.5 %,0 ppm,506 ppm,,,,11/02/2025 03:58:05 p. m.
375,,30.1 °C,19.3 °C,14.4 °C,38.5 %,1 ppm,521 ppm,,,,11/02/2025 03:59:05 p. m.
376,,30.1 °C,19.3 °C,14.4 °C,38.5 %,1 ppm,515 ppm,,,,11/02/2025 04:00:05 p. m.
377,,30.1 °C,19.3 °C,14.5 °C,38.8 %,1 ppm,506 ppm,,,,11/02/2025 04:01:05 p. m.
378,,30.0 °C,19.2 °C,14.4 °C,38.7 %,1 ppm,503 ppm,,,,11/02/2025 04:02:05 p. m.
379,,30.1 °C,19.3 °C,14.4 °C,38.7 %,0 ppm,519 ppm,,,,11/02/2025 04:03:05 p. m.
380,,30.1 °C,19.3 °C,14.4 °C,38.6 %,1 ppm,524 ppm,,,,11/02/2025 04:04:05 p. m.
381,,30.1 °C,19.3 °C,14.4 °C,38.6 %,1 ppm,509 ppm,,,,11/02/2025 04:05:05 p. m.
382,,30.1 °C,19.3 °C,14.4 °C,38.5 %,0 ppm,504 ppm,,,,11/02/2025 04:06:05 p. m.
383,,30.1 °C,19.3 °C,14.4 °C,38.6 %,0 ppm,521 ppm,,,,11/02/2025 04:07:05 p. m.
384,,30.1 °C,19.3 °C,14.4 °C,38.5 %,0 ppm,507 ppm,,,,11/02/2025 04:08:05 p. m.
385,,30.1 °C,19.3 °C,14.4 °C,38.5 %,1 ppm,518 ppm,,,,11/02/2025 04:09:05 p. m.
386,,30.1 °C,19.3 °C,14.5 °C,38.5 %,0 ppm,502 ppm,,,,11/02/2025 04:10:05 p. m.
387,,30.1 °C,19.3 °C,14.4 °C,38.5 %,1 ppm,511 ppm,,,,11/02/2025 04:11:05 p. m.
388,,30.1 °C,19.2 °C,14.3 °C,38.4 %,1 ppm,515 ppm,,,,11/02/2025 04:12:05 p. m.
389,,30.1 °C,19.3 °C,14.4 °C,38.5 %,1 ppm,505 ppm,,,,11/02/2025 04:13:05 p. m.
390,,30.1 °C,19.3 °C,14.4 °C,38.5 %,1 ppm,504 ppm,,,,11/02/2025 04:14:05 p. m.
391,,30.1 °C,19.3 °C,14.4 °C,38.5 %,0 ppm,519 ppm,,,,11/02/2025 04:15:05 p. m.
392,,30.1 °C,19.3 °C,14.4 °C,38.5 %,1 ppm,511 ppm,,,,11/02/2025 04:16:05 p. m.
393,,30.1 °C,19.3 °C,14.5 °C,38.5 %,1 ppm,522 ppm,,,,11/02/2025 04:17:05 p. m.
394,,30.2 °C,19.3 °C,14.5 °C,38.5 %,0 ppm,508 ppm,,,,11/02/2025 04:18:05 p. m.
395,,30.1 °C,19.3 °C,14.4 °C,38.6 %,1 ppm,497 ppm,,,,11/02/2025 04:19:05 p. m.
396,,30.2 °C,19.3 °C,14.5 °C,38.6 %,1 ppm,499 ppm,,,,11/02/2025 04:20:05 p. m.
397,,30.1 °C,19.3 °C,14.5 °C,38.6 %,1 ppm,507 ppm,,,,11/02/2025 04:21:05 p. m.
398,,30.2 °C,19.3 °C,14.5 °C,38.6 %,1 ppm,513 ppm,,,,11/02/2025 04:22:05 p. m.
399,,30.2 °C,19.3 °C,14.5 °C,38.6 %,1 ppm,503 ppm,,,,11/02/2025 04:23:05 p. m.
400,,30.1 °C,19.3 °C,14.4 °C,38.7 %,1 ppm,505 ppm,,,,11/02/2025 04:24:05 p. m.
401,,30.1 °C,19.3 °C,14.4 °C,38.7 %,1 ppm,506 ppm,,,,11/02/2025 04:25:05 p. m.
402,,30.1 °C,19.3 °C,14.4 °C,38.7 %,0 ppm,500 ppm,,,,11/02/2025 04:26:05 p. m.
403,,30.2 °C,19.3 °C,14.4 °C,38.7 %,1 ppm,512 ppm,,,,11/02/2025 04:27:05 p. m.
404,,30.1 °C,19.3 °C,14.5 °C,38.8 %,1 ppm,498 ppm,,,,11/02/2025 04:28:05 p. m.
405,,30.1 °C,19.3 °C,14.5 °C,38.8 %,1 ppm,513 ppm,,,,11/02/2025 04:29:05 p. m.
406,,30.1 °C,19.3 °C,14.5 °C,38.8 %,1 ppm,505 ppm,,,,11/02/2025 04:30:05 p. m.
407,,30.1 °C,19.3 °C,14.5 °C,38.8 %,0 ppm,513 ppm,,,,11/02/2025 04:31:05 p. m.
408,,30.2 °C,19.3 °C,14.5 °C,38.7 %,1 ppm,503 ppm,,,,11/02/2025 04:32:05 p. m.
409,,30.2 °C,19.3 °C,14.5 °C,38.7 %,1 ppm,505 ppm,,,,11/02/2025 04:33:05 p. m.
410,,30.2 °C,19.3 °C,14.5 °C,38.6 %,1 ppm,502 ppm,,,,11/02/2025 04:34:05 p. m.
411,,30.2 °C,19.3 °C,14.5 °C,38.6 %,0 ppm,505 ppm,,,,11/02/2025 04:35:05 p. m.
412,,30.2 °C,19.3 °C,14.5 °C,38.6 %,1 ppm,509 ppm,,,,11/02/2025 04:36:05 p. m.
413,,30.2 °C,19.3 °C,14.5 °C,38.6 %,0 ppm,511 ppm,,,,11/02/2025 04:37:05 p. m.
414,,30.1 °C,19.3 °C,14.5 °C,38.8 %,1 ppm,501 ppm,,,,11/02/2025 04:38:05 p. m.
415,,30.2 °C,19.3 °C,14.5 °C,38.7 %,1 ppm,497 ppm,,,,11/02/2025 04:39:05 p. m.
416,,30.2 °C,19.3 °C,14.5 °C,38.7 %,1 ppm,510 ppm,,,,11/02/2025 04:40:05 p. m.
417,,30.2 °C,19.3 °C,14.5 °C,38.7 %,1 ppm,502 ppm,,,,11/02/2025 04:41:05 p. m.
418,,30.2 °C,19.3 °C,14.5 °C,38.7 %,1 ppm,509 ppm,,,,11/02/2025 04:42:05 p. m.
419,,30.2 °C,19.3 °C,14.5 °C,38.7 %,0 ppm,506 ppm,,,,11/02/2025 04:43:05 p. m.
420,,30.2 °C,19.4 °C,14.6 °C,38.8 %,0 ppm,504 ppm,,,,11/02/2025 04:44:05 p. m.
421,,30.2 °C,19.4 °C,14.6 °C,38.8 %,1 ppm,497 ppm,,,,11/02/2025 04:45:05 p. m.
422,,30.2 °C,19.3 °C,14.5 °C,38.7 %,1 ppm,495 ppm,,,,11/02/2025 04:46:05 p. m.
423,,30.2 °C,19.4 °C,14.6 °C,38.8 %,1 ppm,489 ppm,,,,11/02/2025 04:47:05 p. m.
424,,30.2 °C,19.4 °C,14.6 °C,38.8 %,1 ppm,502 ppm,,,,11/02/2025 04:48:05 p. m.
425,,30.2 °C,19.4 °C,14.6 °C,38.9 %,1 ppm,504 ppm,,,,11/02/2025 04:49:05 p. m.
426,,30.2 °C,19.4 °C,14.6 °C,38.9 %,1 ppm,494 ppm,,,,11/02/2025 04:50:05 p. m.
427,,30.2 °C,19.4 °C,14.6 °C,38.8 %,1 ppm,498 ppm,,,,11/02/2025 04:51:05 p. m.
428,,30.2 °C,19.4 °C,14.6 °C,38.8 %,1 ppm,503 ppm,,,,11/02/2025 04:52:05 p. m.
429,,30.2 °C,19.4 °C,14.6 °C,38.9 %,0 ppm,486 ppm,,,,11/02/2025 04:53:05 p. m.
430,,30.2 °C,19.4 °C,14.6 °C,38.9 %,0 ppm,505 ppm,,,,11/02/2025 04:54:05 p. m.
431,,30.2 °C,19.4 °C,14.6 °C,38.9 %,1 ppm,494 ppm,,,,11/02/2025 04:55:05 p. m.
432,,30.2 °C,19.4 °C,14.6 °C,38.9 %,1 ppm,499 ppm,,,,11/02/2025 04:56:05 p. m.
433,,30.2 °C,19.4 °C,14.6 °C,38.8 %,1 ppm,505 ppm,,,,11/02/2025 04:57:05 p. m.
434,,30.2 °C,19.4 °C,14.6 °C,38.9 %,1 ppm,502 ppm,,,,11/02/2025 04:58:05 p. m.
435,,30.2 °C,19.4 °C,14.6 °C,38.8 %,0 ppm,501 ppm,,,,11/02/2025 04:59:05 p. m.
436,,30.2 °C,19.4 °C,14.6 °C,38.9 %,0 ppm,492 ppm,,,,11/02/2025 05:00:05 p. m.
437,,30.2 °C,19.4 °C,14.6 °C,38.8 %,1 ppm,483 ppm,,,,11/02/2025 05:01:05 p. m.
438,,30.3 °C,19.4 °C,14.6 °C,38.8 %,1 ppm,491 ppm,,,,11/02/2025 05:02:05 p. m.
439,,30.3 °C,19.4 °C,14.6 °C,38.7 %,0 ppm,494 ppm,,,,11/02/2025 05:03:05 p. m.
440,,30.3 °C,19.4 °C,14.6 °C,38.7 %,1 ppm,491 ppm,,,,11/02/2025 05:04:05 p. m.
